source_image_id,design,kind,depth_um,expected_photons,replicate,panoptic_quality,segmentation_quality,recognition_quality,true_positives,false_positives,false_negatives,predicted_count,target_count,absolute_count_error,percentage_count_error,foreground_dice
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,-6.0,100,-1,0.5239940837047034,0.7955182907153223,0.6586826347305389,55,42,15,97,70,27,0.38571428571428573,0.8356504266759947
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,-4.0,100,-1,0.5343575227873204,0.8258252624894952,0.6470588235294118,55,45,15,100,70,30,0.42857142857142855,0.8631735862222081
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,-2.0,100,-1,0.5446499724386434,0.8466831389728002,0.6432748538011696,55,46,15,101,70,31,0.44285714285714284,0.8755483321235839
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,0.0,100,-1,0.5539332502921118,0.8457373732138492,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8781446292730659
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,2.0,100,-1,0.543904147747559,0.8455237205893872,0.6432748538011696,55,46,15,101,70,31,0.44285714285714284,0.875023654828739
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,4.0,100,-1,0.5333868809006704,0.8243251795737635,0.6470588235294118,55,45,15,100,70,30,0.42857142857142855,0.8628839360674175
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,deterministic,6.0,100,-1,0.5100991920394554,0.7934876320613752,0.6428571428571429,54,44,16,98,70,28,0.4,0.833468382329109
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,50,0,0.5561830672624547,0.8007118295933616,0.6946107784431138,58,39,12,97,70,27,0.38571428571428573,0.8535098121724494
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,50,1,0.5305915515556163,0.8106259815433028,0.6545454545454545,54,41,16,95,70,25,0.35714285714285715,0.8313848397632329
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,50,2,0.5476034203985223,0.8021909754960809,0.6826347305389222,57,40,13,97,70,27,0.38571428571428573,0.8492361480580679
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,50,3,0.543255009104006,0.8051815313505803,0.6746987951807228,56,40,14,96,70,26,0.37142857142857144,0.8495150101295352
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,200,0,0.5278022895080517,0.8252908526853173,0.6395348837209303,55,47,15,102,70,32,0.45714285714285713,0.8693347870197914
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,200,1,0.5521781190735428,0.8234235108991427,0.6705882352941176,57,43,13,100,70,30,0.42857142857142855,0.868333547942404
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,200,2,0.5420495777746528,0.8130743666619792,0.6666666666666666,57,44,13,101,70,31,0.44285714285714284,0.8693938199351063
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,-6.0,200,3,0.5586183915194091,0.8232271032917607,0.6785714285714286,57,41,13,98,70,28,0.4,0.8688539614168538
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,50,0,0.5521548278735378,0.8040149247983094,0.6867469879518072,57,39,13,96,70,26,0.37142857142857144,0.8416721147559897
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,50,1,0.5402682463239582,0.8055785458580448,0.6706586826347305,56,41,14,97,70,27,0.38571428571428573,0.853442440927516
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,50,2,0.5681530635812744,0.8073754061418109,0.7037037037037037,57,35,13,92,70,22,0.3142857142857143,0.8530598938119043
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,50,3,0.5231757455361356,0.8045060992678311,0.6503067484662577,53,40,17,93,70,23,0.32857142857142857,0.8294319088051789
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,200,0,0.5413274856592706,0.8167397152052153,0.6627906976744186,57,45,13,102,70,32,0.45714285714285713,0.8692204474296674
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,exact_task,poisson,6.0,200,1,0.5490703093971262,0.8187890578729075,0.6705882352941176,57,43,13,100,70,30,0.42857142857142855,0.87134858812074
