candidate_id,source_group,phase_rms_radians,hard_dense_off_focus_pq,hard_dense_recognition_quality,hard_dense_segmentation_quality,hard_dense_foreground_dice,hard_dense_absolute_count_error,focus_mae_um,signed_direction_accuracy,seed_loss,instance_loss,task_loss
clear,matched v2,0.0,0.3366046878114405,0.44166388389077466,0.6140223280882653,0.47422178239708884,3.2142857142857144,1.593554904902796,1.0,0.609687348206838,0.428367555141449,1.2677914967034911
cubic,matched v2,0.0,0.3366046878114405,0.44166388389077466,0.6140223280882653,0.47422178239708884,3.2142857142857144,1.593554870045907,1.0,0.6096873382727305,0.42836755017439526,1.2677915069835795
astigmatic,matched v2,1.5,0.33552895311222014,0.4386473587103839,0.6334599316458073,0.46098405375652535,2.9761904761904763,1.116540082792581,0.9861111111111112,0.6206619143486023,0.4304928531249364,1.2777014930690938
segmentation_only,matched v2,1.1445891899627856,0.37894443017676427,0.49089293837192993,0.7126198327122489,0.5237214561132512,2.9285714285714284,2.4233172926971474,0.7638888888888888,0.605517158905665,0.4214928944905599,1.2428072259207756
focus_only,matched v2,1.1357214520489642,0.3357524689352129,0.44542688870419955,0.6069138448958089,0.4753035300449071,2.9285714285714284,0.9221548128003372,0.9861111111111112,0.6165645718574524,0.4335044672091802,1.2817248613809353
exact_joint,matched v2,0.9866851104528407,0.3552137039947518,0.46294154802558163,0.6345619813807276,0.49356988048015477,2.857142857142857,1.0291444198895288,1.0,0.6118611693382263,0.42594997584819794,1.2615364423880597
broken_focus_gradient,matched v2,1.1445891899627856,0.37894443017676427,0.49089293837192993,0.7126198327122489,0.5237214561132512,2.9285714285714284,2.4233172926971474,0.7638888888888888,0.605517158905665,0.4214928944905599,1.2428072259207756
naive_superposition,matched v2,1.3495694760702757,0.34191527609194705,0.4454979738593183,0.6364498631322464,0.4916506517491361,2.6904761904761907,1.2641650739942323,0.9583333333333334,0.6166243255138397,0.42844387392203015,1.267327756512725
derivative_free,matched v2,0.020239710864986243,0.33803080426220306,0.4431901354170261,0.6142760956140118,0.4743323248927864,3.1904761904761907,1.5937914841719603,1.0,0.6096554199854533,0.42827028036117554,1.2675871209020844
seg-start/joint-refine-focus-0.03,seg-start,1.1488436101747133,0.37972556626015347,0.4908515115447888,0.7143792087880153,0.5247640967513169,2.9047619047619047,2.5829324276189105,0.7638888888888888,0.6039811770121256,0.42077599962552387,1.2403034488157856
seg-start/joint-refine-focus-0.05,seg-start,0.9882445966078421,0.37679237697869644,0.4875274041240427,0.6951409554466478,0.5216072084644944,2.880952380952381,2.5421528069654515,0.7638888888888888,0.6034862995147705,0.4212203820546468,1.241950889119247
seg-start/joint-refine-focus-0.07,seg-start,0.8973251177685035,0.37574523493590833,0.4864526851921809,0.6767311239871375,0.5189288608494399,2.880952380952381,2.2967598337328456,0.8194444444444444,0.6050326029459635,0.42190680901209515,1.2460364466113043
joint-start/joint-refine-focus-0.03,joint-start,1.0195602826303802,0.36915609177054354,0.4782152876690692,0.6591661431424142,0.5107922915270732,2.9047619047619047,1.4398774188687018,0.9166666666666666,0.6082561115423838,0.4231293896834056,1.2509087984480942
joint-start/joint-refine-focus-0.05,joint-start,1.002960811260249,0.361503401783928,0.46952292183384614,0.6554122620810962,0.5001272890968699,2.8333333333333335,1.2224021649389993,0.9583333333333334,0.6090826491514841,0.42372501889864606,1.2536541125651668
joint-start/joint-refine-focus-0.07,joint-start,1.0004111738349477,0.3616471161954203,0.46911063570727424,0.6566853753823401,0.50051815932039,2.8333333333333335,1.0616438094653964,0.9861111111111112,0.6101393004258474,0.4246361255645752,1.2569276518749808
projected/projected-exact-joint-0.25,projected,1.091520091555466,0.380350662740821,0.4919758501691274,0.713797464754178,0.5253259965345689,2.9047619047619047,2.5809410452368873,0.7638888888888888,0.6038274566332499,0.421069398522377,1.2410992386063657
projected/projected-exact-joint-0.50,projected,1.016293797655193,0.3761867086463736,0.4871383596173512,0.6944354044829988,0.5206218367089895,2.9285714285714284,2.4687472459109094,0.7638888888888888,0.6040887633959452,0.4215005040168762,1.2428875161382102
projected/projected-exact-joint-1.00,projected,0.9171684068617628,0.37686950531592245,0.4884048335729007,0.6760071157134223,0.52044694866983,2.857142857142857,2.19671190939909,0.8333333333333334,0.605867842833201,0.4222981085379918,1.2477158052064947
